,댓글 작성자,댓글,좋아요 개수,하트 유/무
188,초딩아재,13:53 질문을 해서 답하려니 닥치래ㅋㅋ,0,없음
189,Ramee J,이 영상보고 저혈압이 완치 되었어요👍🏼,9,없음
190,count,"1. 원래 반도 동쪽에는 전통적으로 2도가 있다고 알려짐(울릉도 2도설:울릉도와 우산도)  2. 후에 도항관측에 의해 울릉도 동북부속도인 죽도가 발견되고 울릉도-송도:마츠시마, 죽도-죽도:다케시마로 참작됨  (현재의 리앙쿠르는 아직 명칭이 없어 호넷 암초)",1,없음
191,Geometry Dash PiaNoMen,3:53 안 밀리는 거 개웃기네 ㅋㅋㅋㅋㅋ,9,없음
192,현이,14:10 비행기 타고 들어왔ㄷ,0,없음
193,사나나,어디있는지도 모르면서 무조건 일본땅.. 무지하다 정말... 그 무지함이 칼날이 되어 돌아갈거다,491,없음
194,🫒ISABELLA ELEANOR🍹,피리부는 사나이 뭐냐고 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8,없음
195,진지안,영상 앞부분에 나오는 “독도가 어디있는지 아시냐”라는 물음에 바로 튀어나오는 내 머릿속의 대답 ㅋㅋ 울릉도! 동남쪽! 뱃길따라 이백리! 애들 동요를 틀어도 내내 나온다 독도위치 ㅋㅋㅋㅋ 우리나라는 남녀노소 다 안다! ㅋㅋㅋㅋ 돌지난 내 딸한테도 말해주고 있다 ㅋㅋㅋㅋ,0,없음
196,최정근,Awarded,1,없음
197,이히리기,여기 왜 왔냐고 하고 닥치라고 하는거 웃음벨이넼ㅋㅋㅋㅋ,4,없음
198,지원 양,12:34자기소개하시는일행1,0,없음
199,늘푸른생선,근데 어떻게 보면 지들 나라 역사를 공부하러왔는데 나가라고해? ㅎㅋㅎㅋ 꼴에 잘못된건 아나봄 ㅋㅋㅋㄱㅎㅋ,667,없음
200,포켓남매,그냥 어이없어서 웃음밖에 안나온닼ㅋㅋ,3,없음
201,RP 2009,김수미 할머니 가셨으면 딱인데...  일본우익: 다케시마는 우리 영토야!! 김수미님: 쟤 뭐래니? ,288,없음
202,카고 cago,뭉쳐야 강한 힘보단 혼자여도 말할 수 있는게 진정한 강한 힘이고 내가 저자리에 있으면 이미 싸움 터졌을거 같다,14,없음
203,고양이이,황철순 같은 헬창 분들이 저런 거 해봤으면 좋겠다ㅋㅋㅋ,5,없음
204,김선우•1분전,0:34 자기가 말하라 해놓고 조용히 하라고 하고 또 다시 말하라는 지능 클라스,0,없음
205,재재재재,일장기 들고 들어오는거 겁나 웃곀ㅋㅋㅋㅋ이게 코미디짘ㅋㅋㅋㅋㅋㅋ,6,없음
206,지인,"일본인들 위치 모른다고 할때 ""울릉도 동남쪽 뱃길따라 이백리!""이러고 있었음 ㅋㅋ",0,없음
207,과제싫음,에휴 너무 역겨운거 아님 일본인들 ㅋㅋㅋㅋ 독도가 지네 땅이라 우기면서 어디에 위치에 있는지도 모름,211,없음
208,안심해요 사람도 물거든요,우린 노래도 있다 울릉도 동남쪽 뱃길따라 이백리^^ 덕분에 어디있는지 모를수가 없죠,0,없음
209,noodle,이걸 생방으로 풀로봤으면 얼마나 좋았을까,8,없음
210,김도원,개킹받네요^^,1,없음
211,착한사람,마지막 사이다네ㅋㅋ 다케시마 행사의 민낯ㅋㅋ,27,없음
212,수빈 sulbin,저정도면 김구라 봐준거임,1,없음
213,JINUNE[:,저기에서 말은 설민석이해야하고 행동은 마동석이해야한다는 댓글 어디갔엌ㅋㅋ,440,없음
214,권희 김,"마지막에 너희들 뭐냐, 뭐하러 왔냐고 물어보고 말할려고 하니깐 닥치라고 하고...ㅎㅎㅎㅎㅎㅎㅎ 똥 쌀까 말깔 물어봐서  휴지주니깐 날 멀로 보냐고 화내는..뭐 이런 식?? ㅋㅋㅋㅋㅋㅋㅋ",0,없음
215,누가 웃음소리를 내었는가,김구라코인 떡상했습니다,1,없음
216,둠상필,진짜 저기서 막 손가락질하고 대들면 한판 붙고싶다는 생각만드네,0,없음
217,염라대왕,BTS   국방의무를 독도 수비대로!!!,28,없음
218,조조수현,일본은 양아치같이 행동하네~,2,없음
219,도팔,일본인들 말 일본인'독도는 일본땅 이야' 한국사람'이유가 뭔가요 일본인,414,없음
220,jun park,........감사합니다... 제가 왜 살아야하는지 깨달았습니다,0,없음
221,신유빈,ㅋㅌㅋㅌㅌㅋㅋㅋㅋㅋ 한국인이 존나 맞는 말만 하니까 팩폭 맞고 쫄아가 걍 같은 말만 내뱉으면서 뒤로 빼네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,360,없음
222,내가누굴까,게스트로 격투기 선수같은사람 갔을때 반응 궁금하다 ㅋㅋㅋㅋ,0,없음
223,순타,출연진들 피지컬이 좋아서 적진에서 잘 비비네ㅋㅋ,2,없음
224,sungho,동석이형님 대려오면 아무말도 못할거같은데 ㅋㅋㅋ,0,없음
225,이름 추천 받아요!,너무 속시원해요!  감사합니다!,10,없음
226,Stella,부끄러운지도 잘 못 된지도 사과도 할 줄 모르는 뻔뻔한 저들.혐오스럽다 저것들은. 독도쌀에거 빵터짐 ㅋㅋㅋㅋ독도 술은 또 뭐냐 ㅋ,0,없음
227,esk J,일본 : 보물은 내꺼야! 한국 : 그럼 그 보물이 어디에 있는지는 아느냐? 일본 : 몰라 내꺼야!그냥 내꺼야!,1.2천,없음
228,IamBlackOx,"THE ASAHI SHIMBUN September 20, 2019  ""Naruhito reaps first rice crop at Imperial Palace as emperor""    Wearing boots, Emperor Naruhito on Sept. 19 reaped 100 loads of rice stalks from a small paddy in the Imperial Palace in Tokyo, the first harvest since his ascension to the Chrysanthemum Throne in May.",0,없음
229,영송 이,캬~ 여태까지 만든미사일 다다퍼부어ㅋㅋ,14,없음
230,kim나다,밀치고 싶지만 안 밀쳐져 ㅋㅋㅋ,0,없음
231,김원,11:40 카레가 먹고싶어서 화난 모양이군요,3,없음
232,백앙꼬ᨼ ᩚ,무지성 가래 빌런 개 웃기ㅁㅋㅋㅋㅋ,0,없음
233,범궁이,한국에서 길가는 사람들 아무나 붙잡고 독도는 어딨냐고 물어봐라 어린아이 어른 누구나 상관없이 울릉도 동남쪽 뱃길따라 이백리라고 대답할거다 ㅋㅋ,421,없음
234,박규태,보면서 느낀건데 김구라가 연예인이여서 다행인거 같음 아니였으면 가만히 있지않을꺼같은데,0,없음
235,백광문,무지한거는  약도 없다,0,없음
236,Ramen eat Lemon,이건마동석들와서 다 쓰러트려도 할말없다,1,없음
237,김도현,3:51 개씹멸치 땅딸보 ㅋㅋ,1,없음
238,여이은아,와 진짜 심각하다..,3,없음
239,노현수,??: 독도가 뭐야! 다케시마야! 🇰🇷: 그럼 독도 어디있는지 아세요? ??: 몰라욯헤헤,481,없음
240,선셋,재밌어서 중독됨,14,없음
241,이서원,"김구라가 저기서 침착하게 있는거 ㄹㅇ 프로다 나였으면 진짜 아구창 개때릴거 같음 진심,,,",311,없음
242,김영찬,일본에 뭐하러 왔냐고 물어봐서 대답하는데 닥치라고 하고 다시 똑같은 질문하는거 킹 받네,1,없음
243,중요한 개 정,13:45  ㅋㅋㅋ 지가 물어봐ㅋㅋ놓고,0,없음
244,건빵,13:46 지가 물어보고 답 할려 하니까 닥치라고하는 저 뇌 구조는 어떨까,0,없음
245,musan Notre,일장기의 상징은 음침하고 수줍고 내성적여서 겨우 꺼냈던 여신아님.. 그러니 다들 민감하고 조심스럼,2,없음
246,혤잉찡,우리 한국사를 진짜 화나면 어떻게 되는지 모르나본뎈ㅋㅋㅋㅋㅋ,1,없음
247,ᄋᄋᄋ,일단 사람밀치고 손가락질하고 막말하는거부터가 인성이개빻음 지들도 찔리는게 있으니까 저러지ㅋㅋㅋㅋ관종인가 관심받는거 디게 좋아하네,352,없음
248,커맨드,7:52 그와중에 저기 가게분 개 친절 그나마 ㅇㅈ해서 빡.치.지.만 저분들 아니면 장문 이었다,6,없음
249,イヴ처돌이,3:55 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ겁나 웃었네  쨉도 안되는 게ㅋㅋㅋㅋㅋㅋ한번 밀어보니 쫄은 듯ㅋㅋㅋㅋ,1,없음
250,초설,지들 땅이라고 우기면서 물른다고? 그럼 내가 사는곳도 물르겠네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
251,삭제된계정입니다.,김구라씨가 빡친게 눈썹으로도 보여요,0,없음
252,세컨트,독도에서 쌀이 나오다니 연금술인가,1,없음
253,하이,방탄이 걍 프사를 독도 사진으로 바꾸면 끝날것같은데,521,없음
254,유동명,09:18 상대 안 해주니 당황ㅋㅋㅋㅋㅋㅋ,1,없음
255,정라에몽,이야 동물이 말도 하네 뭐라는진 모르겠지만 ㅎㅎㅎㅎ,2,없음
256,Meme Land,일본: 독도는 일본땅이야 한국놈들아!! 한국: 독도가 어디있는지는 아니? 일본: 독도은 한국땅이ㄷ...,2,없음
257,아무것도없음,김구라랑 싸우면 개쳐발릴듯ㅋㅋ,3,없음
258,rough,ㅋㅋㅋㅋㅋ 코미디가 따로없네,1,없음
259,엘롯키티,닥치라고 할거면 뭐하러 왔냐고 왜 물어봄ㅋㅋㅋㅋ 일상 생활 가능한 사람인가 ㅋㅋㅋㅋㅋㅋ,800,없음
260,김용남,하 진짜 잼민이도 참교육 마렵네,0,없음
261,신권혁,세뇌식 교육으로 독도는 일본땅이라고 각인시켜놓고 정작 독도가 어디있는지 독도가 왜 일본땅인지 제데로 설명 못하는 바보들이네 ㅋㅋ,594,없음
262,김예빈,"여러분 독도빵 먹을때 파란펜,검정펜 꼭! 챙겨가서 먹읍시다~",0,없음
263,정은정,라때맛쿠키:자! 오늘은 커피로 일본인들을 족치는 법을 배워볼꺼야,1,없음
264,재우,묻지도 않았는데 말하는거 보니까 안물 안궁 하고싶ㄷr,1,없음
265,YN,꼭 역사선생님이 되어야지,5,없음
266,십알 이,우린 독도 어딨는지 ㅈㄴ 잘 알지 ㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋ  울릉도 동남쪽 뱃길따라 200리(칠팔k),0,없음
267,우기,일본에서는 역사 왜곡하고 중국은 걍 말할가치도 없고  ㅋㅋㅋㅋㅋㅋ 몇몇사람들이 문제야 맨날 우리만  피터져 중국이랑 일본이랑 둘이싸워라  한국 좀 내비둬라,342,없음
268,허성률,ㅋㅋㅋㅋㅋㅋ 우리집 멍뭉이도 듣고 웃는다 ㅋ,7,없음
269,TaRe NeKo,섭외한애들 연기 넘 못한다궄ㅋㅋㅋㅋ,0,없음
270,동만이,지금봐도 열받네 막상 한국와서 저러면 아무말 못함..,0,없음
271,전깨비,아나 진짜 하... 김구라님  힘내세요,7,없음
272,기홍 권,아이고 힘드시겠어요,1,없음
273,으음흠,설민석선생님이있어다면 역사에 역이라는 말도못꺼내는사람이 독도가 일본땅이라고 우기네 독도가 어디있는지도 몰르면서  독도는 한국땅이다!!!!!,453,없음
274,마 쪼리나 쪼리믄 쪼린다하든가,11:16 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 표정 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
275,반전그림,지식이없어지식이!  이러는게 개웃김 ㅋㅋㅋ,1,없음
276,Mac Lee,12:36 다케시마야! 우리처럼 '야'를 쓰네 ㅋㅋ 😂,0,없음
277,조얼떨결에깨끗한발,보면서 개쳐웃었네ㅋㄱㅋㄱㅋ 우울할때 보면 개 웃김 ㅋㅅㅋㅋㄱㅋㅅㅌ,0,없음
278,정의석,12:31 결국 지도 독도라네,0,없음
279,IlCaMa- 일곡동 카밀 장인,애초에 일본인이랑 한국인들 싸가지 부터가 틀림 한국인들은 독도가 우리땅이라는 증거를 대고 말하는데 일본인들은 증거도 없이 ‘한국인들이 말하는건 다 엉터리야’ ‘독도는 일본땅이네’ 이유도 없이 이유는또 하나밖에 없음 ㅋㅋㅋ 전시회에 써져있어!! ㅋㅋㅋㅋㅋ ㅇㅈㄹ,485,없음
280,최병곤,멘탈 갑이다,0,없음
281,내입에 넣고와라라랄ᄅ라,우리나라 사람한테 독도 어딨냐고 물으면 울릉도 동남쪽 뱃길따라 200리 바로 나오는뎈ㅋㅋㅋㅋㅋㅋㅋ,402,없음
282,성원,일본인들 앞에서 몽키몽키 매직 몽키매직 부르면 급발진한다는데 가서 불러주고싶네,0,없음
283,kmc,지금 이때 이걸 띄워주는 알고리즘좌...,0,없음
284,크리스탈,가끔 가야겠군요 .,1,없음
285,달,감상평 : 우롸아!!! 역시 몽키들♡,8,없음
286,히,아오 진짜로 왜절탱,1,없음
287,이찬,뭔 일본땅이라하지 일본 우리나라 옛날에 점령한것도 모자라서 이젠 우리나라땅도 뺏을라하네:,290,없음
288,사랑니,와 대박 재팽 생각 보다 제대로 돌았네 ㅍㅎㅎㅎ 싸울맛안나게 ㅋㅋㅋ,0,없음
289,식주사,얘들아K대강국의 힘을보여주자,0,없음
290,개인정보,처음에 타케시마의 타케보자마자 무슨 죽순 대나무 파티 시즌인줄 알았는데,0,없음
291,누군가,맥반석이 화가 많이 났네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
292,라떼쿵,화내면 빼았을줄 아나봐 ㅋㅋ,0,없음
293,purple sword,일본인: 독도 우리꺼야!  한국인: 야 독도갈때 너 여권필요하지? 일본인: 응... 한국인: 난 필요없음 ㅋ,178,없음
294,Vicki O,저 때 같이 간 세 분이 그나마 거의 180 넘는 키에 덩치도 있으니까 적당히 밀리지 않고 넘어간거지 ㅋㅋ,4,없음
295,해파리,와 진짜 어이없네...,1,없음
296,코숭이,화가 나긴 나는데 내 얼굴 표정은 어이 없어서  웃고 있따ㅋㅋㅋㅋㅋ,0,없음
297,자까 구르미,와..떳떳하지 못하니까 막 소리지르는거 실화냐고ㅋㅋㅁㅊ,0,없음
298,유가영,한국사람이 독도가는방법: '여권없이' 차타고 배타고  일본사람이 독도가는방법: '여권을 가지고''비행기'타고 차타고 배타고,4천,없음
299,찬이,정말로 교육이 중요한거구나..,3,없음
300,Fire 2000,마지막 카메라 정리하는거 왜케 웃기냨ㅋㅋㅋ🤣,0,없음
301,루체테.Lucete,그냥 일본정부가 나쁜건줄 알았는데 그나라 그시민 이구나...독도 주장을 떠나서 기본적으로 예의가 없네,491,없음
302,홀리몰리,지금 다시 봐도 진심으로 명존쎄 날리고 싶네,0,없음
303,박태빈,13:48 물어보고 말할라니까 입 막아버리고 다시 물어보네ㅋㅋㅋㅋㅋ,2,없음
304,박수진,양옆에 있는게 다 지들꺼라고 우기는 놈들 밖에 없음,0,없음
305,Moonyoung Choi,참.... 정성이 갸륵하다 빵 과자 ㅋㅋㅋㅋㅋ👍,2,없음
306,파이리...ㅠㅠ,11:30 가래가 많나보군요,0,없음
307,아람몬_1022,이래서 일본인들이란..;ㅉ 한국에 미안한마음을 가지고있는 일본인이 있는지 궁금하네 사과하기에는 때가 지났어,361,없음
308,오즈의맙소사,그와중에 김구라씨 화 한번 안내시고 차분하게 얘기하시는 모습 존경합니다~😊😊,9,없음
309,권도형,왕뚜껑쌤 빨간펜 라이브 강의 잘 들었어요!!,17,없음
310,푸르문[フルムーン],말리니까 더 크게 얘기하네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
311,스피트,03:49 응 안밀리죠? ㅋㅋㅋㅋㅋ 일본인 근력 ㅋㅋㅋㅋㅋ,0,없음
312,큐덥큐입니다만?,아니 가래 ㄱ웃기네 ㅋㅋ,0,없음
313,miko 1061,일본인: 왜 왔냐 꺼져라 통역사: 아 그게.... 일본인: 꺼져 통역사: (너가 물어봤잖아 ㅂㄷㅂㄷㅂㄷ),341,없음
314,Killing_B,"11:30 여기부터 ""가래"" 라고 자막 표기한 음성은 카에레(돌아가라.) 로 추측되는데, 아마 한국 취재진들에게 너네 나라로 돌아가라는 뜻으로 화를 낸 것 같음",1,없음
315,아름,책을 딱 한 권만 읽으면 어떻게 되는지 보여주는 것 같다,0,없음
316,강예담,독도 위 에는 자랑스러운 태극기가 꽃혀있답니다,2,없음
317,배찬우,소귀에 경읽기... 딱 적당하네,0,없음
318,su_ho,에휴 인성하곤 처음본사람을 저렇게대하는 사람들은 처음보네 진짜 여러의미로 교육 못받은거같네..;,1,없음
319,뭐여,이 방송만큼 김구라의 삿대질과 뭐 씹은 표정이 편안한 적은 없었다,425,없음
320,앙뇽,"""오합지졸"" ""삼삼오오"" ""똥은 똥끼리 뭉친다"" 옛말이 틀린게 하나 없어요",1,없음
321,ㅇㅇ,독도는 한국땅이지 일본인은 지들 땅이라고 하면서 어디있는지도 몰름..ㅋㅋㅋ 독도는 한국땅이이ㅣㅣㅣ야ㅑㅑㅑㅑ,251,없음
322,마크복돌이엄마,개 킹받너,0,없음
323,김영준,김구라가 방송이라서 많이 참고있네요,3,없음
324,🥀옐룸뮈🥀,촬영하시는 분들도 대단하셔요…저같으면 욕하고 난리났을탠딩..;;,2,없음
325,우울한 희망,일본인들은 소설을 잘써서 애니가 많나봥,1,없음
326,재희 정,ㅋㅋㅋㅋㅋㅋㅋㅋ 일본인들개웃곀ㅋㅋㅋ,0,없음
327,김,초딩때 담임쌤이 영국에서 공부하실때 영국에서 역사 공부 할때 독도는 한국땅이라고 영국에서도 그렇게 배웠댔음 근데 반에 일본인이 있었는데 독도는 지네땅이래서 영국선생님이 아니 독도는 한국 땅이고 너네가 잘못 배운거라고 했댔음,1.1천,없음
328,오라오라오라무다무다무다,김구라가 침착하게 대처를 잘했네요 화가나도 참는게 좋은 대처를 한것같네요,0,없음
329,스로,역사를 멋대로 바꾼건 미래도 좋지 못하게 바뀌겠죠..,0,없음
330,무전머가리,태어나서 7만 댓글은 처음본다... 역시 독도는 우리땅!,1,없음
331,쟌아사랑해,김구라 멋지다,0,없음
332,cw seo,5:00 뭔 소리야,0,없음
333,동그란 파프리카,설민석 마동석 김동현 오타니 료헤이 이러케 섭외해서 다시갓으면 좋겟습니다ㅠㅠㅠ 아오 졸라 짜증나네 안경샊이;;;;,215,없음
334,돼무룩,이런데에 하승진이나 서장훈같이 키큰 분들가면 아무것도못할듯ㅋ,0,없음
335,썬더,저게일본이냐?   ㄹㅇ 내인생레전드닼ㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
336,목화,12:31 독도라고 왜처줘서 감사합ㄷ 다캐시마가 아니라 독도라고 인정해주셔서 감사,2,없음
337,way Milky,저도 맨처음엔 독도 위치 햇갈리다가 울릉도 옆에있는거 아닌가...? 하다가 급 독도는 우리땅 노래가사 기억나서 알게됐어요ㅋㅋㅋ울릉도! 동남쪽! 뱃길따라 이백리!(87K)! 외로운! 섬하나! 새들의 고향! 그 누가! 아무리! 자기네 땅이라고 우겨도! 독도는 우~리땅! 우리땅! ,0,없음
338,SIRO,이래서 나라의 정신교육이 무섭다,0,없음
339,최예서,0:36  아닠ㅋ 지가 물어봤으면서 말하니깐 닥치랰ㅋ큐ㅠㅠㅠㅠ     + 좋아요 170개 감사합니다❤️,245,없음
340,형빈,"모든 한국인이 아는 노래 애국가,독도는 우리땅 이 둘만 알아도 국뽕이 차오름",0,없음
341,시원한선풍기,독도는 분쟁지역이 아닙니다. 엄연한 대한민국의 영토입니다.,329,없음
342,루브,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자기네 땅을 안다면서 해놓고 모른덱 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,없음
343,다모리봉당,가래!!  가래!!! 난 다 오메아어ㅜ,0,없음
344,랩터블루(RB!J.Y),따라오는거 개 웃기네ㅋ,0,없음
345,박슬지,그냥 한마디로 개웃경ㅎ,1,없음
346,김우르,아닠ㅋㅋㅋㅋㅋ 가만히있는데 왜 시비걸고 난리야 ㅋㅋㅋㅋㅎㅋㅎㅋㅋ 겁나웃기네 ㅋㅋㅋㅋ,0,없음
347,ng l,저 정도면 깡패집단아닌가  떳떳하지 않으니 저러지;; 손가락질이며 표현 하나하나 정말 무례하고 무식해보인다 ~ 이와중에 밀쳤는데 안밀리는거 왤케 웃기냐 (03:54)ㅋㅋㅋㅋ  심지어 독도가 어디있는지도 모르는 사람들이 독도 지네땅이라 우기는거보면 그냥 한심 그자체. 독도에 관심1도없는데 그냥 일본이 몰아가니까 그런줄 아네~화이팅 ㅎ,224,없음
348,심민정,헬창이랑 같이가면 아무말도 못할듯,0,없음
349,IamBlackOx,"THE MAINICHI SHIMBUN September 16, 2019  ""Japan's Princess Kako meets with Austrian president""  VIENNA (Kyodo) -- Japan's Princess Kako, niece of Emperor Naruhito, paid a courtesy call on Austrian President Alexander Van der Bellen on Monday to mark the 150th anniversary of diplomatic ties between the two countries.",0,없음
350,네가,구라 형 일본말만 할 줄 알았어도 바로 제압될 텐데 ㅋㅋㅋㅋ,1,없음
351,김귀정,김구라가 안때린게 레전드,0,없음
352,현주 강,ㅋㅋㅋㅋㅋㅋ 겁나 웃기네,0,없음
353,딩젤_,독도가 한국땅인 이유:  야 너흰 독도 갈때 여권 가지고 가지? 우린 안 가지고가. 수고^^,533,없음
354,뀨잉뀨잉,3:54바로빼는거 개웃기넼ㅋ,0,없음
355,마감하자【magam ha ja】,엿날리면서 떠나면 개꿀잼이겠다,0,없음
356,이희겸,진짜 나쁜 사람들이다.,0,없음
357,승현,우린 뱃길따라 이백리 외로운 섬하나 새들에고향 이라 배웠습니다,10,없음
358,ㄱㄱㅎ,한국인은 화 한번 안낸다,0,없음
359,이정은,저렇게 대답하는 이유는 교육을 잘못 받아서 그래요.,459,없음
360,s j,그나저나 03:48 이장면 완전 코메디인데욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,3,없음
361,나대장,아니 ㅋㅋㅋㅋ 저렇게 발전도 없고 지능도 없고 멍청하게 우길줄만 아는 나라가 어떻게 OECD국가임?ㅋㅋㅋㅋㅋㅋㅋ 어이가 없네,175,없음
362,율림TUBE,여기에서 그그 욕 찰지게 하는 할머니 딱 오면 을마나 좋을까..,0,없음
363,우주최강멋쟁이,대한민국 만세!  Long live the Republic of Korea!  大韓民国、万歳!  大韩民国万岁!,0,없음
364,모래,와...진짜...제가 어른도 아닌데 욕 아주 동네 흔들리게 할 뻔했네요,0,없음
365,이은성,역시 그들의 인성👍👍,0,없음
366,동데카이저,0:32 지가 물어보고 닥치라는건 먼데,0,없음
367,준서,하...일본은 왜 독도를 일본땅이라고 하는지.. 이해가 안가네.. 독도는 한국땅인데..,187,없음
368,짱구,저럴땐 동석이 형님이 있어야해,1,없음
369,예준,나같으면 멍빡쳐서 겁나 째려보고 소리 질렀을꺼 같은데... 존경스럽습니다,0,없음
370,송의선,화가나서 볼수가 없네요.. 왜 저렇게 화를 내지ㅋㅋㅋㅋ독도가 어디에 있는지도 모르면서 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋ욕나오네,0,없음
371,학생,우리 학교쌤이 차라리 방탄이 군대갈거면 독도에서 있는게 일본한테도 잘알려줄수있을거라고 생각한답니다,66,없음
372,전하준,아 진짜 일본놈들 지들 땅이 였으면 그런말이 나오냐고 진짜,0,없음
373,그렇구나,아니 왜케 시비를 거는거야 일본인이 한국에오면 한국인이 일본인한테 아무 이유없이 독도는 한국땅 하는거 봤나 왜 죄없는 한국인한테 아무짓도 안한 한국인한테  다짜고짜 독도가아니라 다케시마라고 우기는거야 일본이 독도를 한국땅이라고 인정했는데 왜 눈이 없는것도 아니고 못보는건지 안보는건지 참... 니네가 독도 점거 하든가 한국한테 난리야,311,없음
374,Arin Ryu,내가 저기 있었으면 한국의 매운맛을 쫌 보여줫을텐데,0,없음
375,선욱,처음에 밀치는 아재 개웃기네ㅋㅋㅋㅋㅋㅋ 밀었는데 안 밀리니까 당황했엌ㅋㅋㅋㅋㅋ,1,없음
376,광수 최,기념상품 샀을때 그사람 그나마양심있네,1,없음
377,김진하,그냥 원폭 한번더 가자 제발,0,없음
378,김감자,참고로 틱톡에선 독도가 일본의 것이라는 영상 대부분에 일본어닉이고 영상도 다 일본영상인 놈이 띄어쓰기도 제대로하지 않고 한국어로 화와이 는 한국에영토 라며 한국인행세를 하는데 그게 또 좋다고 일본애들이 욕을 해댄다,2,없음
379,김난미,그냥 BTS 독도 한번만 가서 우리땅이라고 말해주라...,766,없음
380,taeding studio,13:02 뭉치면 강해도 마동석에겐 한방임ㅅㄱ,0,없음
381,Julia J,1. 취재진 : 독도는 어느 나라 땅입니까? 2. 일본시민 : 다케시마는 일본땅입니다. 그렇게 배워어요 3. 취재진 : 독도가 어디있는지는 아세요? 4. 일본시민 : 위치는 모르겠어요...(????),415,없음
382,박상엽,와.....영상 보는 내내 뒷목아프다 그리고 이거 영어로도 부탁해요! 미국인 셰계인도 보면 무서워서 머.....그럴지도?,0,없음
383,달빛소년,일본에서 살고있는 한국분들 존경합니다,2,없음
384,이시온,일본 학자 중 독도는 일본 땅이라 하는 학자 0명ㅋㅋㅋㅋ,0,없음
385,Bodybuilder dream,저게 일본의 현재 모습이다 ;; (절레절레) 대단하네요 대단해,0,없음
386,먹또리,와 진짜 개킹 받네,0,없음
387,오빠 빨리 좀 달리라고,일본: 독도는 일본땅이야 한국: 독도가 어디있는지 알아? 일본: 몰라 한국: 아... 답변 고마워,435,없음
388,혤잉찡,마동석님이랑 강호동님 일본어 배워서 오셨으면 좋겠다,1,없음
389,praise blessed,김구라 멘탈 강한네.,0,없음
390,김지영,와 킹받네,0,없음
391,플마트,저럴때는 샤답 샤답 하고 무시하면 됨,0,없음
392,허동현,キングジョン,1,없음
393,최민석,지들이 물어봐놓고 닥치라는건 뭐꼬,605,없음
394,fiona cho,이 날 김구라님 정말 스트레느 장난 아니었겧네요. 고생하셨습니다,0,없음
395,에밀리아,"제가 한때 일본학교를 다녀 봤었어요.  어머니께서 일본분이셔서 말이지요; 유치원때부터 초등학교 6학년까지 다녀봤었는데, 4학년때까지는 아무렇지안다가 한국 학교에서 독도나 그렇고 그런문제로 인해 자꾸 싸우게 되었어요..",14,없음
396,off sent,나라면 저기 다 박살냈을텐데 기왕가신거 다 박살내고 오시지 왜 그냥 계셨어요 오히려 방송이 더 흥행했을텐데,0,없음
397,Markus,여몽연합 태풍안만나서 제대로 상륙했으면 쑥대밭을 만들었을텐데,0,없음
398,유튜브 탐방하는 종이생물,아 빡쳐서 교통뻒유 많이 써버렸네,0,없음
399,ᅳAaa,한국인 중에서 일본어 공부하는 사람들 왜 공부하는 지 이유를 알겠네 ㅋㅋㅋ 말싸움 하려고,268,없음
400,등신을보면 끄덕이는 비둘기,최진기+마동석 둘만대려가도 90은 정리된다,0,없음
401,민트초코개꿀맛,"일본 즈그가 그렇게 당당하면, 한국이랑 일본이랑  독도 관련해서 토론 한번 제대로 하자ㅋㅋㅋㅋ 설민석 쌤 팩폭 딱대ㅋㅋㅋㅋㅋ",390,없음
402,{신기한 일상},잼민이랑 말빨로 싸우면 저 사람 들 맨탈 깨질듯ㅋㅋㅋㅋㅋㅋㅋㅋ,3,없음
403,다크홍,정말 웃기네요. 이걸로 코메디 만들면 재미있을듯....,0,없음
404,로지roji,자막 ㅈㄴ웃곀ㅋ,0,없음
405,Suh Kevin,김구라씨가 찍은 수많은 촬영 중 가장 멋있어보였습니다.,1,없음
406,한세미,와 진짜 짜 증나네에,0,없음
407,김건우,역사가 인정했고 등기부등본에도 한국땅이고 독도경비대도 한국사람이고 독도에있는 의용수비대 기념관이 니들이 무식하게 뺏으려했던 땅이었다는증거다 .결국은지켜냈고 현재도 앞으로도 우리땅이다. 논리적.근복적.역사적으로 너희들은 니들땅이라고 말할자격없다. 과거에도현재인지금도 독도를위해일하고있는 관계자분들께 너무감사합니다.,655,없음
408,낭만,진짜 몸좋은연예인 운동선수들 데리고 가야지,0,없음
