,댓글
191,"일본을 좋아하는사람으로서 일본을 위해 한마디 하자면, 한국은 독도를 지키기위해 많은일을하는데, 일본은 독도를 빼앗기위해 하는것이 별로없다. 그러니, 일본쪽에서 포기를하는것이 일본입장에서도 훨씬 더 이득이다. 일본이 한국을 통해서 얼마나 많은 이득을 취하는지 생각해보면, 일본이 독도를 포기하는게 옳다."
192,여러분들 이거 하나만 외칩시다 독도는 한국 땅!!!!༼✧ɷ✧༽
193,참 어이없네 일본에서는 독도를 가지고 한국과 일본이 싸우고 있다고 배운다고 ?  원래 독도는 우리 나라껀데 그걸 가지고 싸운다는게 더 이상한 상황이지
194,"Takeshima belongs to Japan and Dokdo belongs to us. Takeshima means Jukdo Island and Bamboo Island, and there is no bamboo in Dokdo Island. On the other hand, Dokdo Island has the meaning of a stone island. Just looking at the etymology of the word proves that Dokdo Island is our land."
195,재밌어서 중독됨
196,일반국민 욕하지마세요. 저사람들은 그렇게 배웠기에 저렇게 이야하는것입니다 물론 우익들도문제가 있지만 결국 그사람들도 그렇게 배워서입니다
197,내가 피아노학원에서 독도는 한국땅(우리땅)을 연습을 다 해서 잘 치고 있는뎅 그걸 노랠 부르면서 피아노를 치며 일본인들에게 보여주고싶다
198,마지막 카메라 정리하는거 왜케 웃기냨ㅋㅋㅋ🤣
199,여기서부터 독일과 차이가 있는거임  독일은 자신들이 잘못한것을 정말 사과하고 학교에서 역사 열심히 배우는데 일본은 걍 다름
200,처음에 밀치는 아재 개웃기네ㅋㅋㅋㅋㅋㅋ 밀었는데 안 밀리니까 당황했엌ㅋㅋㅋㅋㅋ
201,설민석선생님이있어다면 역사에 역이라는 말도못꺼내는사람이 독도가 일본땅이라고 우기네 독도가 어디있는지도 몰르면서  독도는 한국땅이다!!!!!
202,꼭 역사선생님이 되어야지
203,ㄹㅇ 찐으로 김구라씨가 못알아들어서 다행이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 썸네일 보고 달려왔습니닷 ㅋㅋㅋㅋㅋㅋ 독도 사랑♡
204,원래 아예 모르는 애들보다 하나만 아는 애들이 진짜 무서운 애들이라 했습니다.
205,13:49 일본인들수준 왜왔냐고해서 말하는데 닥치라하고다시 물어보는 참된인상 ㄹㅇㅋㅋ
206,어디있는지도 모르면서 말하기는 다른나라에서 왔다고 함부로 해도 되는것 아니잖아요
207,일본이 주장하는 내용  대한민국:1+1=2입니다  왜냐하면 수학적..
208,"0:56 말실수 하셨어요! ""타케시마는 원래 일본영토였고"" :X  ""독도는 원래 정말정말 대단하고 멋진 최고의 나라 대한민국 영토였고""이게 맞는말 입니다!"
209,믿기지가않는다 21세기에 다큰어른들이 놀라워
210,일본은 원래도 싫었는데 더 싫어졌다
211,"저런 모습들이 내가 일본에 살면서 느낀 ""진짜 일본인""이다. 일본은 미화를 잘해서 뭐든 자기네껀 아름다운거 같이 잘 포장해서 이미지가 좋을뿐임."
212,ㅋㅋㅋ 독도가 지네들 땅이라면서 어디있는지를 몰라~대박사건! 좀 배워라배워
213,이 방송만큼 김구라의 삿대질과 뭐 씹은 표정이 편안한 적은 없었다
214,마지막 사이다네ㅋㅋ 다케시마 행사의 민낯ㅋㅋ
215,이 영상보고 저혈압이 완치 되었어요👍🏼
216,와 진짜 어이없네...
217,역시 그들의 인성👍👍
218,아 진짜 볼 때마다 화나네 아니 역사적으로나 보나 뭐로보나 독도는 한국땅이라고 말하고 있는데 왜 인정을 안 하는지 이해가 안 가네  심지어 기록으로도 남아있는데 논리적이지도 않고 무작정 소리지르면서 가라고 하는 거 진짜 비상식적이다
219,어디있는지도 모르면서 무조건 일본땅.. 무지하다 정말... 그 무지함이 칼날이 되어 돌아갈거다
220,정말로 교육이 중요한거구나..
221,다 큰 어른들이 뭐하는 짓이냐ㅋㅋ 나이를 먹었으면 먹은 만큼 행동해야지. 전 욱하는 성격이 있어서 저런거 절대 못참거든요. 저기에 저 있었으면 나 일본 경찰서 갔을 수도 있겠군요.
222,김구라가 안때린게 레전드
223,언제가는 한번 끝장을 보겠죠.  항상 마음에 간직하고 사시길 바랍니다.
224,아이고 힘드시겠어요
225,저게 일본의 현재 모습이다 ;; (절레절레) 대단하네요 대단해
226,독도는 우리 땅 인데  일본이 자기네 땅이라고 우기는거  완전 어이없음.
227,도망가는 이유:독도가 한국땅 이라는 증거가 나오자 반박할수가없어서   +일본인들은 대한민국오면  한국말합니까?? 한국인들이 일본인들을 만나면 다짜고짜 독도는 한국땅이라고합니까? 왜 그러는겁니까일본인분들.....
228,3:50  한국인 : 단단해지기!
229,진짜 빈수레가 요란하다는게 딱 여기서 쓰는 속담이네
230,경기가 힘들어지니까 재테크좀 해볼까하고 알아보는데 딱 뱤!캬!라`퓰`뱅 추천받아서 쳐보니까 어우..
231,진짜 몇몇분 말대로 김동현 강호동 서장훈 추성훈해서 다시한번 가죠 일본
232,0:45 어디서 왔는지 말하고 있는데 닥치고 어디서왔는지 물으는거 무엇;; 아 원레 일본 양심이 이러니까 참아야지 ㅋㅋㅋ 우리가 일본 보다 커지면 바로 전쟁하고싶다. 그리고 독도가 어딨는디 몰르면서 자기땅이라고하는양심무엇 일본은 없어져야해 인정 하는사람  👇
233,만약 진짜 타당한 이유가 있었으면 당당하게 인터뷰를 했겠지  할말이 없으니까 욕하고 큰소리만 치고인터뷰를 못하지.......
234,"어쩔수없음. 일본인은 섬나라 사람들이고, 자국의식이 강함. 이 두가지가 합쳐져서, (영토에 대한 정복의식 + 국익을 최우선) 엄청난 혼종을 낳게되는것."
235,이런 영상은 영어 버전으로 전세계에 퍼뜨려야 합니다.
236,죽도록 맞아야 정신차리지 죽어버려도 상관없어
237,극우들 너무 웃겨서 뻘하게 웃고 갑니다 ㅋㅋㅋㅋㅋㅋㅋㅋ
238,진짜 저기서 막 손가락질하고 대들면 한판 붙고싶다는 생각만드네
239,이런 유익한 동영상은 제목에 한국어 말고 영어도 같이 붙여서 넣어주시먼 센스 굿 일텐데 일본의 만행 모든 나라 사람들에게 보여줘야지 부끄러운줄 알죠!!
240,아놬ㅋㅋㅋ 독도에서 나온 쌀? 일본분들 독도에서 쌀 농사하시나봐요? 독도에서 쌀농사를 하다니 얼마나 기술이 발전하셨으면..^^ 대단하세네여^^
241,저 사람들을 저렇게 만든 일본 교육방식부터 일본의 무논리가 문제입니다. 저 사람들은 그 무논리의 꼭두각시이구요
242,12:37 발음 왤케 정확함?ㅋㅋㅋ
243,군사력만 강하면 그냥 해결 물론 외교홍보도 해야되지만
244,한국을 무시하지말자
245,ㅋㅋㅋㅋㅋㅋ 우리집 멍뭉이도 듣고 웃는다 ㅋ
246,"3:33 어우 깜짝이야! 얼굴 땜에 깜짝 놀랐어욬ㅋㅋㅋㅋㅋ 그러면서 독도 아니야 이러고 있는 일본의 세뇌식 교육이 에휴,,,,,😤"
247,"적법하게 취재 허가 받아서 촬영 중인 방송팀을 쫓아낼 게 아니라, 계속 달라 붙으면서 소란 일으키는 우익들을 쫓아내야 하는 거 아님? 어이가 없음"
248,뭔가 귀여워 ㅋㅋㅋ 어른들이 생떼쓰는 애들같아.
249,"이 밤에 화가 나네요,,, 제대로 된 역사를 함께 나누는 문화가 필요하다고 생각합니다,,,"
250,12:31 독도라고 왜처줘서 감사합ㄷ 다캐시마가 아니라 독도라고 인정해주셔서 감사
251,"진심 블핑이나,방탄이 독도에서 뮤비같은거 찍으면 .....❤🤭"
252,와 일본은 진짜 나쁜 녀석이다
253,한국사람이 독도가는방법: '여권없이' 차타고 배타고  일본사람이 독도가는방법: '여권을 가지고''비행기'타고 차타고 배타고
254,14:10 초 한번 움직였는데 다 쳐다보는거 소름임
255,ㅋㅋ마지막 대사 사이다ㅋㅋㅋㅋㅋ
256,"독도는 한국 땅 인데, 일본이 독도가 일본  땅이라는 것에 화가 납니다"
257,설민석:지식으로 조진다 마동석:힘 으로 걍 조진다
258,일본: 독도는 일본땅이야 한국놈들아!! 한국: 독도가 어디있는지는 아니? 일본: 독도은 한국땅이ㄷ...
259,에휴 너무 역겨운거 아님 일본인들 ㅋㅋㅋㅋ 독도가 지네 땅이라 우기면서 어디에 위치에 있는지도 모름
260,하아;; 볼때마다 참 다시금 결의를 다지게 되네요
261,김수미 할머니 가셨으면 딱인데...  일본우익: 다케시마는 우리 영토야!! 김수미님: 쟤 뭐래니? 
262,이 영상을 보고 일본어 공부를 하고싶어졌습니다
263,이 날 김구라님 정말 스트레느 장난 아니었겧네요. 고생하셨습니다
264,개웃기넼ㅋㅋ그렇게 자기꺼라 주장하는 독도 어딨냐니까  아노....음... ㅋㅋㅋㄱㅋㄱㄱㄱㄱㅋ
265,이 영상이 일본의 인성을 알려준다
266,주장하는건 괜찮은데 근거가 있긴한가
267,저런 사람들은 제대로 알아보려고 하지않고 얕은지식으로 다아는것처럼 구는데 너무 어이가 없네 저런사람들도 문제이긴한데 일본정부도 너무하다 독도가 일본땅이 아니란걸 자기들도 알고있으니까 국민들이라도 세뇌시켜서 어떻게든 독도가 다케시마라고 주장하는 것봐 ㅋㅋ
268,이거보고욕벡번씀 1.독도가 지리적으로 우리나라 영토라는 것은 조선시대는 물론 삼국시대에도 독도가 엄연한 우리나라 땅이라는 것이 나와 있습니다.
269,일본인들의 저 특유에 지식은 없는데 우기는 능력과 거짓말과 섞인 말도 안돼는 말을 하는 능력 대단하다 정말
270,일본이나 한국이나 똑같음.독도가 진짜 어느나라 땅이냐를 떠나서 쟤들도 그냥 독도가 일본영토라고 교육을 받아서 아무런 의심없이 독도는 일본땅이다라고 믿는거고 한국도 독도가 한국땅이라고 교육받고 그 교육이 진짜 사실인지 왜곡인지 의심조차 안해보고 교육을 그렇게 받았으니 한국땅이라고 믿는거고.
271,3:53 안 밀리는 거 개웃기네 ㅋㅋㅋㅋㅋ
272,근데 화낼필요 없는게 이게 티비에 나오면 전세계사람들이 일본의 찌질함이 다 노출됨. 감정 소비 ㄴㄴ
273,저건 뭐 어린아이가 가게에서 사탕 훔쳤는데 나중에 엄마한테 걸려서 혼나니까 내 거라고 우기면서 찡찡대는 거 같네....
274,정말 웃기네요. 이걸로 코메디 만들면 재미있을듯....
275,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 일본 땅이라고 우기면서 어디있는지도 모르겠다고 한거 진짜zzzㅋㅋ
276,이런거 보면서 느낀거지만 저부터라도 독도에 대한 역사공부는 해야 일본인들이 독도는 자기네 땅이라 우겨도 독도가 왜 한국땅인지 따질수 있을것 같아요
277,나같으면 멍빡쳐서 겁나 째려보고 소리 질렀을꺼 같은데... 존경스럽습니다
278,일본 말고 중국도 우리나라에 있는 걸 자기꺼라고 우기는 중국 도 있어
279,독도가 한국땅이라는 결정적인 이유.  1.일본인들은 독도가 어디있는지도 모름.
280,ㅋㅋㅋㅋ화내는 톤 ㅋㅋㅋㅋㅋㅋㅋ너무 귀여워요 일본인들!!ㅋㅋㅋ이용진인줄
281,자기네들 땅이 아니라는것을 아니까 저렇게 필사적이라고 생각합니다..
282,이 영상 보면 하나의 일본어는 배울 수 있네 다케시마는 일본 땅이다를 알 수 맀음 ㅋㅋㅋㅋㅋ (일본이 싫은거 아니에요
283,출연진들 피지컬이 좋아서 적진에서 잘 비비네ㅋㅋ
284,"아니 ㅋㅋㅋㅋ 아,이제 나도 일본사람보면 저따구로 행동해야지ㅋㅋㅋ"
285,"대일본전도(1877년)엔 애초에 독도가 있지도 않았고 팔도총도(우리나라에서 독도가 표기된 제일 오래된 지도(1531년))에선 독도가 보였고 ,울릉도에선 독도가 보이지만 오키섬에선 독도가 보이지 않았고 안용복이 일본에 가서 독도는 한국땅이라는 문서를 일본한테 받아냈고 최종덕 님이  처음으로 독도에 주민 등록을 했다는 증거가 있다^^"
286,동석이형이 저런데 가서 한번 참교육하면 사이다가 따로 없음
287,진짜 얼마나 찔리면 한국인 보자마자 독도가 지네 땅이래 ㅋ쿠ㅜㅜㅜ쿸ㅋㅋ
288,일본국민성 너무웃겨ㅋㅋㅋㅋㅋㅋㅋ
289,7:52 그와중에 저기 가게분 개 친절 그나마 ㅇㅈ해서 빡.치.지.만 저분들 아니면 장문 이었다
290,ㅋㅋㅋㅋㅋㅋ 겁나 웃기네
291,김구라 당당함 자신감 대단하다...!!
292,아니 자기꺼라고 우기는데 어디있는지 모르면 어떡햌ㅋㅋ
293,1. 취재진 : 독도는 어느 나라 땅입니까? 2. 일본시민 : 다케시마는 일본땅입니다. 그렇게 배워어요 3. 취재진 : 독도가 어디있는지는 아세요? 4. 일본시민 : 위치는 모르겠어요...(????)
294,피리부는 사나이 뭐냐고 진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
295,독도는 “한국” 땅 입니다. 우익 사람들을 만나면 화내지 마시고 독도는 한국 땅이라고 말하고 자리뜨세요. 저런 사람들 목소리만 큰 격 떨어지는 사람들입니다.
296,와..떳떳하지 못하니까 막 소리지르는거 실화냐고ㅋㅋㅁㅊ
297,하...김구라 대단하십니다 👍  일본들과 이렇게 이야기 하는거 만으로도 대단하신데..😎
298,이분은 좋은뜻으로 말하는게 아닐까요? 독도는 일본땅이고 일본땅은 우리땅
299,독도가 일본땅이라고 일본인한테 그냥 저렇게 알려줘서 저렇게 아는거 같은데 그래도 저런 태도는 아니다;;
300,진짜 한국인들도 어느 정도는 참았다... 근데 이 영상 보고는 도저히 참을 수가 없어서 욕 계속 하면서 봤다... 봐주는 것도 어느 정도가 있지...
301,일본학교 규칙 1.뭐든지 우리가 유리하도록 구라까라 2.역사는 우리만 좋게 구라까라 3.언제든지 구라까라
302,김구라가 화내지 않고 버틴게 신기하다
303,와...일본인생 레전드
304,지들 땅 이라면서 어디인지도 모르는거 킹받내
305,13:12 일본인들은 혼자선 무리인 일이라도 공동으로 행동하면 두려움이 없어짐. 속담으로도 '빨간불이라도 다 같이 건너면 안 무섭다'라는 게 존재할 정도니...
306,김구라가 한짓 중 가장 잘한일
307,이야 지네들이 한국에다가 민폐란 민폐는 다 쳐놓고 한국인한테 아무이유없이 짜증내는게 정상인가? 게다가 독도가 지 땅이면 어디있는지 알아야지 옜날에는 주인없는 땅이라고 하고 할말 없으니까 지네 땅이라고 하는게 어이가 없네 저러다가 벌받지 대한민국 만세!
308,일본에 뭐하러 왔냐고 물어봐서 대답하는데 닥치라고 하고 다시 똑같은 질문하는거 킹 받네
309,"그냥 제일 쉬운방법  일본인들은 독도에 살지 않지만, 한국인들은 독도에 삽니다 ㅎ"
310,일본인들 중에... 그래 이 영상처럼 조금 좋은사람도 있는데 이영상보고 젤 먼저 느낀게 '와 겁나 무식하네'임ㅋㅋ
311,"실제로 일본 분들은 착하신 분들도 많은데 극우세력들이 한번에 몰아오니까 저런일이.. 작년 초에 일본에 간 적 있었는데 거기선 한국인들을 오히려 좋아하더군요, 관광지이다보니. 이게 지역마다도 한국인의 인식이 조금씩 다른 거도 있을거 같네요."
312,여윽시 독도는 우리땅이라는것을 잊지 맙시다
313,일본에서는 역사 왜곡하고 중국은 걍 말할가치도 없고  ㅋㅋㅋㅋㅋㅋ 몇몇사람들이 문제야 맨날 우리만  피터져 중국이랑 일본이랑 둘이싸워라  한국 좀 내비둬라
314,김구라 기 존나 미쳤네ㅋㅋㅋㅋ 딱 어울리는 프로그램임
315,대한민국 만세!  Long live the Republic of Korea!  大韓民国、万歳!  大韩民国万岁!
316,가래가 들끓는 인간이 많내ㅋㅋㅋㅋ
317,여기 왜 왔냐고 하고 닥치라고 하는거 웃음벨이넼ㅋㅋㅋㅋ
318,커서 일본가려고 일본어 배우고 있었는데 이영상보고 가려고 하는걸 다시 생각해봐야겠네요 어떻게 해야할까요;^;?
319,일본인들이 아무리 저 ㅈㄹ을 해도 독도가 우리나라 땅이라는것은 절대로 변하지 않는 사실이다 독도가 우리나라의 땅인것은 주장해야하지만 일본에 대해 직접적으로 대답하는것은
320,화가 나긴 나는데 내 얼굴 표정은 어이 없어서  웃고 있따ㅋㅋㅋㅋㅋ
321,일본: 독도는 일본땅이야 한국: 독도가 어디있는지 알아? 일본: 몰라 한국: 아... 답변 고마워
322,김구라는 한국에서도 밉상이구 일본에서도 밉상인걸 알아야한다 존중해라
323,결국 힘인것이다 그게 진정한 국제관계의 법칙이다 국제관계에서의 상식은 힘의바탕위에서 이뤄진다 그러니 우리는 군사력 경제력을 명확하게 키워야한다
324,마동석님이랑 강호동님 일본어 배워서 오셨으면 좋겠다
325,영어 제목이랑 영어 자막넣어주세용! 전세계가 봐야할 필수 영상이네 ㅎㅎ
326,4:02아 겁나웃기넼ㅋㅋ
327,한국과 일본은 독도를 두고 싸우는게 아닙니다. 일본이 남의 것을 빼앗으려는 거죠. 독도가 어디있는지도 모르는 사람들이 독도가  자기네 땅이라고 우기는게 우습네요. 독도는 명백히 한국의 영토입니다.
328,김구라 멋있다 파이팅
329,김구라 ㄴ데 이럴때 왤케 멋있냐 ㅋㅋ ㄹㅇ 상남자 ㅋㅋ
330,0:34 자기가 말하라 해놓고 조용히 하라고 하고 또 다시 말하라는 지능 클라스
331,독도가 일본땅이라는 증거도 알고싶다 영상 속 자료관에 있는 증거들. 나도 독도가 한국땅이라고 지금까지 믿어왔고 일본 측 주장은 사실 들을 필요도 없다고 생각했다.  그런데 상대의 주장을 듣지도 않는것은 영상속 사람들과 다를바가 없는 것 같다.
332,화난다😠아니어떻게독도가일본땜에
333,반대로 논리적으로 왜 독도가 일본땅인지 설명가능한사람이랑 토론하는형식으로 했으면좋겠네요. 다큰어른들끼리 애들싸움하는것도 아니고
334,이런데 일본으로 여행을 가는분들 대단해요 👍
335,일본은 배려심이 깊고 예의바른 나라 라고 알고있는데 참 예의가 바르네요
336,5:55 독도가 돌섬이라 쌀농사가 안되는줄도 모르고 자기땅이라고 주장하는 일본
337,근데 저렇게 생각하시는 이유가 위에서 공부를 저렇게 시켜서 그런거에요ㅠㅠ..
338,간단함. 한국사람들은 독도갈때 그냥 감. 근데? 일본사람들은 여권들고 감ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 풉
339,일본어를 이럴때 일수록 배우고 역사 공부도 제대로 하여 일본인과 항상 싸울 준비 를 해야 합니다. 일본인 모두를 무시 하는건 아니나 왜곡된 역사를 알리는 사람은 무시 하시고 그들과 끝까지 싸워 독도를 지켜냅시다.
340,애초에 일본인이랑 한국인들 싸가지 부터가 틀림 한국인들은 독도가 우리땅이라는 증거를 대고 말하는데 일본인들은 증거도 없이 ‘한국인들이 말하는건 다 엉터리야’ ‘독도는 일본땅이네’ 이유도 없이 이유는또 하나밖에 없음 ㅋㅋㅋ 전시회에 써져있어!! ㅋㅋㅋㅋㅋ ㅇㅈㄹ
341,와 근데 김구라도 그렇고 일본가서 심지어 저런 사람들 한둘이도 아닌데 그 앞에서 떳떳하게 주장하기 신경쓰였을텐데 멋있다
342,영상보다가 3:50에서 개터졌네 진짜ㅋㅋㅋㅋㅋㅋㅋ안밀렼ㅋㅋㅋㅋㅋ
343,이런문제는 저런 태도로는 절대 서로 이해못하고 타협 못할듯 너무 예의가 없다..ㅋ
344,사람들 댓글에서 계속 마동석 찾는 거 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
345,지들은 독도가 어디있는지부터 알고 입을 나불거리든가 어딨는지도 모르면서 지네 역사도 모르면서 참 별짓을 다한다.
346,ㅋㅌㅋㅌㅌㅋㅋㅋㅋㅋ 한국인이 존나 맞는 말만 하니까 팩폭 맞고 쫄아가 걍 같은 말만 내뱉으면서 뒤로 빼네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
347,09:18 상대 안 해주니 당황ㅋㅋㅋㅋㅋㅋ
348,아 뱤캬 라 퓰뱅 들어봤어요 초보자들도 쉽게 접목할수 있다던데 홀짝이랑 비슷한데 먹튀도 없다구
349,이 영상은 전 세계 사람들이 봐야한다고 봅니다... 독도는 한국 땅!!!🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷🇰🇷 🇯🇵❌❌❌❌❌❌❌❌
350,다리부터 머리끝까지 화가 치밀어 오르는 영상
351,진짜 추하다 추함의 바닥이구나 ㅋㅋㅋㅋㅋ
352,이건 일본정부의 잘못이큰듯. 무식한것도 죄긴하지만 교육을 잘못하고 있으니
353,4:00에 ㅋㅋㅋㅋㅋ밀치는데 안밀쳐지는거 ㄹㅇ 개웃김ㅋㅋ 그냥 진짜 막무가내로 우기는구나
354,........감사합니다... 제가 왜 살아야하는지 깨달았습니다
355,하 진짜 보면서 욕나오는거 참았다
356,김구라 멘탈 강한네.
357,3:55 저 비리비리한 체격으로 저런 사람을 밀치는게 되나....😅
358,ㅋㅋㅋㅋㅋ 처음보는사람에게 욕박고 밀치고 손가락질을 하는데 일본이 예의를 가장 질 지키는 나라라고? ㅋㅋㅋㅋㅋㅋㅋ 일본인들은 역사공부 할 지능도 없는거임?
359,ㄹㅇ 피가 거꾸로 솟네 ㅋㅋㅋ
360,다 떠나서 여기 나오는 일본사람들 너무 무례하네요. 기분 더러워지는 영상. 일본은 좋아할래도 좋아할수가 없는 나라네요. 뭐 인권문제나 전범문제가 아니라도 그냥 지들이 우릴 싫어하는데 우리가 어떻게 좋아합니까.
361,3:58밀었는데 안밀리는거 래전드
362,3:50 힘으로 못밀쳐서 당황하신 일본 꼰데쒸
363,저희가 할 말을 (안 그런 사람도 있겠지만)일본사람들이 하고 있네여^^
364,"그냥 서로 미국한테 당하는거에요. 우리 주장은 옛 선조부터 독도는 우리땅 이였다는 주장이고 , 일본 주장은 일제강점기 때 독도 우리가 검거했는데 왜 니네 땅이냐고 우기느냐 이거에요. 그런데 중요한건 우리가 광복했을 때 미국에서는 분명 독도를 우리에게 돌려준다고 했지만 독도문제를 일본과는 제대로 협의를 안한거죠(혹은 미국이랑 짜고치는 고스톱인거죠.) 그래서 미국은 지금까지도 독도 문제 가지고 중립의 형태를 띄고 있는 것 이며  ,  이유는 한국과 일본이 서로 으르렁거리는 것 마치 족쇄를 채우는 것과 같아요. 왜냐면 독도가 누구땅인지 세계에 알리기 위해서는 미국의 역활이 중요하기 때문이죠. 그리고 어려서 잘모르거나, 혹은 정말 애국심이 불타서 양국간 서로 헐뜯는 사람들도 있지만 앞서 선동하는 행동대장 라인들은 거의 정치판에서 손쓴애들이에요."
365,영토는 국제법(1952년 샌프란시스코 강화 조약)가 정합니다.독도는 우리영토가 되지 않았습니다.
366,근데 암만 봐도 너무 무례한데 ㅋㄱㅋㄱㅋㄱㅋ ? 일본땅에 갔다고 무슨 일본말을 써야해 여행을 간거라 쳐도 엄연히 그 나라의 사람인데 무슨 언어를 쓰든 보장받을 권리가 있는데 ㅋㄱㅋㄱㅋㄱㅋㄱㅋ 외국인들한테 말해봐라 어처구니 없어할껄 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 무례해도 너무 무례하다 ㅋㅋㅋㅋ
367,진짜 김구라가 참은게 대단한거임 일본어 잘했으면 저사람들 그냥 아무말도 못함
368,일본인들은 소설을 잘써서 애니가 많나봥
369,일본문서에도 한국땅 표시 되어있고 한국땅을 자기네라고 우기는 일본 삐기가 나쁘네요
370,이럴 땐 듀얼로 정하는 것이다 각자가 가져온 역사적 자료 카드의 신빙성과 빙신성을 체크해가며 승자를 가린다
371,일본인들 그럼 이거 해명좀. 본인들 땅이라면서 왜 독도에서 본인나라 사람들이 아닌 대한민국 사람들이 보초를 서고 경비를 서는지 아님 일본 경비대가 있는데 내가 모르는건가?
372,한국 초딩들 한테 물어봐도 “울릉도 동남쪽 뱃길따라 200리 외로운 섬하나 새들의 고향”이라고  대답할 수 있습니다 ^^
373,큰분이 가시니까 든든하다
374,황철순 같은 헬창 분들이 저런 거 해봤으면 좋겠다ㅋㅋㅋ
375,아나~ 진짜 일본왜그럼
376,"쟤네들도 우리랑 같은생각일걸요 우리도 당연히 독도는 우리땅이라 생각하는것처럼 쟤네도 당연히 독도는 일본땅이라 생각하는거죠 그래서 둘다 상대방주장은 아에 무시하고 자기주장만 맞다고 생각하는거구요 독도가 우리나라땅은 맞습니다만, 우리도 일본이 지네땅이라고 말하는거 솔직히"
377,독도는우리땅 응원 합니다
378,한국 : (논리적) 예전 몇년도에 어디책에 일본과 독도는 관계없다 써있음. 일본 : 아 몰라 다케시마 우리꺼 빼애애애애액
379,"""천재는 스스로 바보라하고 바보는 스스로 천재라 한다."" 무언가가 당연하면 그 주장은 펼치지 않는다. 한국은 당연히 독도가 일본 땅이라 생각한다. 하지만 일본은 그 주장이 완벽하지 않기에 주장을 펼치는 것이다."
380,아니 ㅋㅋㅋㅋ 이거 진짜 애들이 남 장난감 훔쳐서 지꺼라고 하는거랑 똑같은데 ㅋㅋ 찔리면 친구들 부르고 ㅋㅅㅋㅅㅋ한심
381,지금 다시 봐도 진심으로 명존쎄 날리고 싶네
382,"1:03 이 분은 마지막까지 자기주장이 아니라 일본정부가 어떻게 주장하고 있는지를, 그리고 그렇게 이야기하는게 일본의 한계라고 하셨는데,정말 객관적으로 이야기하셨는데 마치 자기가 주장한 것처럼 나오시네... 맨처음에 작게 일본정부가 라고 나왔지만 이건 마지막까지 객관적으로 일본정부가 어떻게 주장하고 있는지를 설명해주신 어르신한테 너무하신 것 같아요..."
383,독도가 어디에 있는지도 모르고 일단 무작정 독도가 자기네 땅이라고 우기는 일본인들이 참 한심함 독도는 경상북도 울릉군 울릉읍 독도리에 있습니다.  독도는 우리땅!!!!🇰🇷
384,마동석 행님이 와서 모두다 진실의 방으로 들어갔으면 좋겠다
385,태어나서 7만 댓글은 처음본다... 역시 독도는 우리땅!
386,일본 : 보물은 내꺼야! 한국 : 그럼 그 보물이 어디에 있는지는 아느냐? 일본 : 몰라 내꺼야!그냥 내꺼야!
387,3:59 저기서 안밀리는거 개웃기네ㅋㅋ
388,3:54바로빼는거 개웃기넼ㅋ
389,자막 ㅈㄴ웃곀ㅋ
390,무논리 우익에 진저리 나네요 ㅋㅋㅋㅋ친구 데려오는거 너무 웃겨
391,한국 실어하면서 우리나라 영화 왜보냐고 하면 영화도 자기네영화라고 할수도 ㅋ
392,제작진 보고있으시면 이거 영어로 자막이랑 제목붙여서 올려주세요 일본이 어떤 나라인지 세계인들이 알아야 합니다.
393,아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그렇게 꼭 해야돼닠ㅋㅋㅋㅋㅋㅋㅋㅋ일본 국기 갑자기 개  웃곀ㅋㅋㅋㅋㅋ흐ㅏㅎㅋㅋㅋㅌㅌㅌ
394,김구라가 방송이라서 많이 참고있네요
395,일본 정부는 진짜 어이 없네요!! 자원 때문에 지들 땅이라고 하고 미국이라고 하면 하와이가 자기들 것이라고 하는거네  진짜 어이가 없네!
396,와 늣게 영상 보구있지만 독도에 쌀이 유명했구나!!! 역시 쌀은 독도쌀이지  일본인들 대단하다
397,와...일본 ㄹㅇ 선 넘네 어디 있는지도 모르면서 지들 땅이래 독도는 한국 땅!
398,이제는 짠하다.. 이성없는 짐승처럼 같은 말만 반복하는 앵무새 그 이상 이하도 아니네요.. 그냥 사람이 아닙니다.. 대화 해보려고 해봤자 헛수고네요..
399,ㅋㅋㅋ구라아저씨가 키랑 덩치가 커서 난리 더 안친듯
400,한국에서 길가는 사람들 아무나 붙잡고 독도는 어딨냐고 물어봐라 어린아이 어른 누구나 상관없이 울릉도 동남쪽 뱃길따라 이백리라고 대답할거다 ㅋㅋ
401,무지성 가래 빌런 개 웃기ㅁㅋㅋㅋㅋ
402,11:16 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 표정 ㅋㅋㅋㅋㅋㅋㅋㅋ
