,댓글
179,핵폭탄 2개로 독립하게 해줘서 감사합니다 미국 6.25 전쟁 참전하신분들 정말 감사합니다 오늘도 나라를 지키기위해 노력하는 군인 여러분 감사합니다 덕분에 발 뻗고 편안하게 잠을 잡니다
180,사기꾼들은 절대 자기가 사기쳤다고 말 안함. 그걸 인정하는 순간 그동안 자신이 사기로 얻은 모든 것을 잃을 것이란 걸 알기 때문에.
181,"나라는나라일뿐 최소한가족에게는피해주는누를범하지마라 나라는나라일뿐 모두등돌린다.교과서에한줄나올래,가족을멸족시킬래"
182,이완용 후손들 이름을 다 밝혀서 부끄럽게 살게는 게 맞는 것 같다는 생각도 든다. 재산도 그대로고 이완용이 아무런 죄값도 없이 죽었다면 그건 대를 이어 그 책임을 물어야 하니까. 역사속에 그 이름을 10줄 정도는 새겨서 그의 자손들이 역사를 배우며 내내 부끄러워했으면 좋겠다.
183,완용이 미래시 오져따리 ㅋㅋ
184,이완용은 재평가 되어야 한다.
185,효자든 개자든 우리에겐 역적일뿐이다!
186,"난세에는 저런사람 무조건 나옴. 욕하는건 욕하는거고 앞으로 저런일이 안생기게 우리가 의식을 가지고 있는게 중요함. 이미 일본한테 먹혔었고, 후손도 땅팔고 이민갔는데 뭐."
187,그는 절대 한국인이라 할 수 없다. 한국을 괴롭히기 위한 한국인으로 가장한 일본인
188,난 솔직히 천국 지옥을 안믿는다. 그런데 이새끼 영상을 볼때마다 믿고싶은 충동이 생긴다.
189,조선이라는 나라에게 사랑의 회초리로 따끔한맛을 보여준 진정한 애국자일지도 모른다
190,나라를 위한자의 후손이 못살고 나라를 버린자의 후손이 잘살면 그 누가 애국심을 고취시키고 싶을려나.....
191,기회 주의자 후손모두가 저주 받길
192,선견지명 미쳤다...
193,지구에는 악마들이 많이 존재하죠 그들은 지구에서 가장 험악하고 잔인해요 
194,힘없는게 시위한다는 말은 맞는 말
195,이완용 평전이라는 책에 보면 이완용의 개인사에 대해 잘나와 있음... 이완용의 모친이 꾼 태몽 ㅡ 하늘에서 병사(天兵)들이 내려와서 지켜주는 꿈이었다고... 매국해서 나라를 팔아먹은 죽일 놈이지만 개인적으로는 부귀영화를 다누리고 자손까지 잘사는 골때리는 케이스...
196,근데..갑자기 문득 든 생각인데 저 시대적상화과 배경속에 이완용이 나라를 팔지 않았다면 과연 어떻게 되었을까요? 누군가 다른사람이 팔았을까요? 아니면 일제강점기 시절이 없어졌을까요? 갑자기 문득 궁금해지네요..
197,"머리 하나는 정말 좋다는 생각이 드네요. 만약이지만, 저 좋은 머리를 독립을 위해 썼다면 독립이 조금은 더 빨리 됐을수도 있겠다는 생각을 해 봅니다."
198,근데 내가 저시대에태어나서 저런삶을 살았으면 내가 과연 저런선택을안했을까 라는 의문이들긴함
199,그 재산으로 떵떵거리는 후손들 어딨는지 모르겠지만 평생 부끄러워하며 살아라 ㅉㅉ 민족 최악의 역적자 피를 물려받고 살아가는 삶은 ㅉ
200,이래서 동물이 사람보다 낫다고하는거임 적어도 동물은 자기 무리 배신은 안함..;
201,애초에 퇴계이황 부터가 잘못됨. 그놈의 성리학만 받아들이지 않았으면 이정도로 쇄국적이고 고려때 보다 더 구시대적인 나라는 안됬음. 그시대때 청나라는 성리학자체를 금지시키고 일본은 아애 인기가 없던 학문이지...
202,"아무리 박쥐같아도, 박쥐같이 사는게 인생 성공에 도움되는 지금 상황 보면 저때도 별다르진 않았을 것 같음."
203,글로벌 시대를 꿰뚫어 보시고 세대마다 국적을 갈아타라는 현명한 조언을 남기신 희대의 예언가. 지금은 국적이 지옥이신가? 조상의 잘못을 반성하지 않는다면 후손들도 그나라로 이민 예약일세.
204,현재도 과거도 나라가 꼴이 꼴이아니야 지금도  힘이 없는  사람들이  얼마나  많은데 드러내지않는거 뿐이지 안보는  곳에서는 장난아닐거야
205,대한민국 만세!!!! 대한 독립 투사영웅들 모두 만세!!!!!!!!!!!!!!!
206,친일이 일본과 가깝다는 뜻보다 나라도 팔만큼의 기회주의자라는 뜻이 더 가깝지  일본에 팔아먹었기때문에 친일이라고 하는것일뿐 그래서 친일은 일본을 알던 모르던 일본어를 알던 모르던 상관이 없음
207,괴물은 만들어지는것이 아닌 만드는것이다
208,좋게 말하면 처세술의 달인이자 미래를 볼줄아는 선견지명이군...
209,우리나라에는 비밀 척결단이 없는가? 씨를 말려야 한다.
210,조선인들이 변소에서 변소=이완용 전용 식당이라 낙서했다는 기록이 있는데 존내 뿜음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
211,"국가에서, 전체에서 보면 나쁜놈이고 손해인데 개인으로라면 자기한테 이득인데 과연 누가 기회주의 안할까"
212,어디 붙어먹어야 할지는 기가막히게 알고 있었네 ㅋㅋㅋ 에휴
213,살기위해 발버둥친 기회주의자 이 아저씨 일생도 재미있다
214,근대 이완용은 앞을 내다보는 능력과 교활함은 진짜 뛰어나네.만약에 이완용이 30년전에 왕이였으면 조선은 근대화를 성공했을지도
215,이사람이 없었다면 아직도 우리는 병신같은 유교문화에 찌들려 살고있을것이다
216,당당히 이야𓅿𓂭 하고싶다  이득충𓇳𓂭 올바른 것 이다  이완용 그는 그의 환경에서  그가 생각한 올바른 성공의 길 이였다
217,다리를 힘 없게 만드는데 일조한게 너야. 그 다리를 어떻게든 치료하려고 노력하신 분들이 계시는데 어찌 저리 뻔뻔하게... 넌 단군때부터 지금까지 그리고 앞으로 태어날 대한민국 국민들에게 빚 진거야. 이 빚 두고두고 힘들게 갚았음 좋겠다.
218,"그때당시 조선은 미래가 없었다..    살기위해 인간은 엄청난 이기적인 존재이기 때문에 일본쪽으로 붙었을꺼다..그러므로 안중근,윤봉길등등 이것들은 인긴이 아니다!! 인간을 초월한 신이다!!  더욱더 존경하라"
219,이완용도 희생양 매커니즘으로 설명이 가능한듯
220,영상 3분24초 쯤의 주택은 옥인동 19-10번지의 집으로 2003년 신축된 건물입니다. 옥인동 일대가 과거 이완용 소유의 땅이었다는 것은 사실이지만 옥인동 대저택은 단독주택이며 개인소유의 2003년 신축건물입니다. 현재 이완용의 약 100년 전 저택은 남아있지않습니다.
221,시대를 다르게 생각해보자 너는 우리나라 최고 권력가이다 현대 주변 국가가 갑자기 떡상해서 우리나라를 넘기라고 강요하면 과연 이썩어 문들어진 나라를 목숨지켜 지킬 의향이 있는가
222,사람의 하나하나의 행동이 독이되고 약이 된다는말이 ;
223,다들 조선시대에 사신 것 처럼 정확하게 이야기하시네요 만약 지금까지 조선시대였다면..?
224,제일 안전한 투자는  국민들 하나한명들이  강해지는것
225,딱히 먹돼먹은 놈이 항상 잘못된 판단을 하는 건 아닙니다. 그래도 이완용이 이전에는 어쨌건 역적질을 한 건 사실이고 그 후손도 아무런 책임을 지지 않고 부정하게 얻은 재산을 축적하고 도주했다는게 더 큰 문제이지요.
226,진짜 미래를 왜이렇게 잘보냐.
227,완용아 힘 없는 사람들이 시위를 해서 의미있는거야
228,ㄹㅇ 나쁜쪽으로 똑똑한놈
229,이완용은 천재다 ~!!!!!!!!!!
230,당돌하게 반환소송한 후손도 어이없음. 친일후손으로 태어난건 어쩔수 없지만 나라면 미안해서라도 내가 나서서 나라에 환원할듯
231,이거 진짜 팩트입니다 저희 영어학원 쌤 중에 브라이언이라는 쌤이 계시는데 그 쌤이 캐나다에서 이완용 손자 손녀 3분과 공부하셨다 합니다 한 분은 결혼을 앞두고 있고 다른 한 분은 토론토대 의대 졸업해서 의사라고 하시고 나머지 한 분은 미국 유명대 다니고 대학원 마쳤다 하네요
232,평생을 명예롭게 살지 못하니 인생을 그렇게 살다 죽은 것이 가장 큰 벌이 아닐까 싶네요 이지아 같은 사람도 몰래몰래 숨기고 속이며 살다가 지금 알만한 사람들은 다 아는 친일파 중 극 친일파의 직계 후손인 것도 이 시대까지 역사에 남아 후손의 인생도 명예롭지 못하고요  자기 자신을 위로하고 괜찮다며 살겠지만
233,이완용 욕하기전에 독립운동가 후손먼저 잘챙겨라 ㅋㅋ 독립운동가후손 폐지줍는거보면 욕먹더라도 친미 친일해야겠단 생각이 안들겠음?
234,역사는 승리자의 편이지 가장 중요한건 짧은 인생 나와 내 가족 내가 사랑하는 사람들이 행복하게 사는거
235,승리자는 항상 정당화된다.
236,능력있는 사람이 나라를 잘못 태어나서 빛을 못볼뻔 했지만 획기적인 방법으로 역사에 찐득하게 이름을 남겨버림 지금도 나라꼴 개판이라 떠나고싶은데 그땐 얼마나 더 개판이었을지 ㅋㅋ
237,"그의 머릿속엔 친미>친러>친일 순서가 있는 걸 보면, 뼈속 친일이라기 보다, 더 크게 자신의 이익에 따른 뼈속 기회주의자라고 불르는 것이 맞을 것이다. 그가 친중, 친미, 친러 중 어느 하나만 했었어도 전혀 이상할 것이 없을 것이란 거다."
238,"특별히 친일이라기 보다 강자에 빌붙는 처세와 재산 불리기는 가히 천재적이었던, 조국 조선에 대한 애국심 자체가 없었던 냉혈인간."
239,"당시 지식인층들이 나라를 살리기 위해, 개화시키기 위해 갖은 노력을 했지만 오히려 나라가 그걸 억누른 것은 다들 알 거야. 그럼 뭐 어찌했어야할까?"
240,어느편에 붙어야하는지 눈치 하나는 뒤지게 좋네 ㅋㅋㅋ
241,캐나다에서 9년넘게 살고있습니다 개인적으로 이완용후손이랑 같은 중고등학교 나왔습니다만 캐나다인으로 잘살고 있으며 한국 역사는 전혀 모르더군요. 이완용이 어떤사람인지도 잘몰라 주변에 얘기하고 다녔습니다. 부모는 한국에서 부동산 팔고 튄후 캐나다에서 땅 사서 잘 살고있습니다.
242,비판할거까진:; 잘붙어서산거도 능력임 인정
243,이완용. 이 작자의 행적을 보면 무타구치 렌야 같은 일본 3대 오물로 취급 되는 그런 레벨과 비교하면 어느 쪽이 더 뻔뻔한걸까 하는 웃기는 생각도 하게 되더군요.(...)
244,ㅋㅋㅋ 이완용 ㅋㅋㅋ 진짜 할말도 없다
245,"아무리 가족과 가문을 위함 이라 해도, 매국노 짓을 한 자는 결국은 매국노 일 뿐 입니다."
246,"진짜 나라입장에서는 천하의 개쌍놈인 새끼지만 미래를 내다보는 능력,능력자에 기생하는 능력 ,탁월한 아가리와 선견지명은 역대급임.. 저 사람이 이기적이지만 않았으면 조선팔도 최고의 인재가 될 수 있었을 수도..."
247,이승만 때 부터. 친일파를 축출하지 않고 건드리지 않은 것이  너무 크다.
248,어떻게 보면 진짜 대단하고 세상 보는눈이 좋다
249,"""정의롭운 전쟁보다 비겁한 평화가 낫다"" 라는 발언을 한적있습니다 그냥 이완용의 마인드는 약자는 강자에게 저항할생각없는 사람임"
250,"진짜 이런걸 교과서에 넣고~ 저때 땅반환 소송 판결한 판사랑 그쪽 변호한 변호사도 신상털어 넣고! 법정서는 당당하게 자기주장 펼치신건데~ 창피할게 뭐 있으시겠어? 자랑스럽겄지! 그래서 널리 알리구, 애들도 배우자구여~"
251,언젠가 이딴 영상 나올줄 알았다 곧 영화로도 나오겠네
252,"이미 이전에 땅 다팔고, 97년에 남은땅이 당시 시가로 30억원어치면, 대체 양심과 나라를 얼마나 팔아먹어야 그만큼인건지...지옥에서 영원히 불탔으면"
253,여러분 극우파 유튜버 꿀승훈tv라고 있는데 백선엽 커버를 치기위해 독립군을 전부다 사회주의자 썩은 양반 출신이라고 비하를 합니다. 그리고 그당시에는 친일이 당연하다는 식으로 얘기합니다. 직접 동영상 보시면 기겁을 하실껍니다. 이런 유튜버는 벌받아야 합니다.  제가 청와대 국민청원에 유튜버 꿀승훈tv에 대한 제재를 올렸으니 동참 부탁드립니다.
254,03:42 정말 화가 솟구칩니다...!!
255,원래 진정한 악당은 자신이 선이라고 믿으며 악을 행하는 사람이지.... 자한당처럼....
256,"가족에 대한 이별 상처 배신감등, 치밀하게 눈치를 보며 자라온 눈치 100만 단의 스킬은 결국 나라를 팔아서라도 자신과 자신이 결혼하여 만든 가족을 안전케하려고 했다. 참 통탄할 일이다. 그런데 지금 사회를 살아가는 우리도 눈치밥으로 먹고살고있고 크고 작은 배신과 상처로 동기부여되어 살아가고 있다. 이완용과 같이 자신을 잃어버린체..."
257,엠빅뉴스는 ㄹㅇ 대박이다 을사조약을 바른 말 로 을사 늑약으로 고쳐서 하고을사 늑약이 맞는 말이랬는데..
258,이완용 재평가가 시급하다
259,한반도 역사상 최악의 기회주의자
260,기억해야할 을사오적!!! 이완용 학부대신 이근택 군부대신 이지용 내부대신
